Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.40205437,-4.490916,4.7919908,-0.20280395,5.0,-2.9824467,-4.247655,5.0,1.0636983,5.0,-5.0,-6.650679,1.0918937,4.807634,5.0,-1.4031297
-0.6347227,-1.8089333,2.932475,0.6251069,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-8.000619,-1.0083903,5.0,5.0,-0.10715183
-5.0,3.4930954,-5.0,9.819404,-1.7750576,-0.29615867,3.321402,3.8598356,-2.1886365,5.0,5.0,2.4986687,-3.5641112,1.6683477,-2.406092,-0.33670256
-5.0,5.0,-5.0,10.0,1.5582876,-4.3407965,-4.8010907,-5.0,0.08891404,-5.0,2.1489813,-1.8628962,-5.0,-5.0,-5.0,-5.0
1.0742805,1.6579376,-2.0134537,-0.15528029,5.0,-5.0,-5.0,-5.0,3.5177877,3.6529074,-3.4941802,0.5180273,1.9185623,-5.0,0.477954,-1.6501122
1.2698219,-3.2492087,2.5314329,0.43080136,5.0,-2.6039913,-2.9466443,5.0,3.9030683,5.0,-5.0,-7.347252,5.0,1.6898654,3.964696,0.41843444
-3.0483193,0.061889052,1.174025,4.090967,5.0,-5.0,-5.0,3.435987,5.0,5.0,-4.2814045,1.0176268,-0.0065568686,5.0,5.0,0.07798628
-5.0,5.0,-5.0,-2.5148506,-0.6855809,-4.6270885,1.2080693,2.5146503,-0.23675823,5.0,-0.9441848,-4.150471,-5.0,5.0,0.12989771,0.29444793
-5.0,5.0,-5.0,3.9907348,-3.5602145,3.1261034,4.0912147,0.15556991,-3.1993103,0.5486872,2.1196694,0.5500466,-5.0,-5.0,-5.0,-5.0
-5.0,5.0,-5.0,5.4236975,4.6930985,-3.8632345,-3.1578257,-0.16149324,2.3758438,-4.84925,1.4715159,0.5534283,-2.4529374,-5.0,-0.23116767,1.1210442
3.5941517,-1.722794,2.217471,1.1008369,5.0,-2.7713192,-5.0,4.6272936,5.0,5.0,-5.0,-0.3941363,5.0,-5.0,0.71797574,0.48656523
0.5290801,-2.6709194,5.0,-0.05770322,5.0,-5.0,-5.0,-2.4572608,1.8269477,5.0,-5.0,10.0,0.1553942,5.0,5.0,-0.14898041
-5.0,3.0757523,-5.0,2.9462392,-2.1802232,-5.0,0.6532179,0.43598354,-0.36470813,5.0,-0.10953385,-7.585968,-5.0,5.0,-1.655782,2.5472922
-5.0,4.5491576,-5.0,0.7496767,-5.0,2.0030274,3.8628929,0.93643916,-3.935441,0.07420087,3.3701913,-0.24524108,-5.0,-5.0,-4.883478,-1.8191457
-5.0,5.0,-5.0,10.0,-0.3689844,1.1110029,2.3688118,1.7299525,-0.5142796,-4.498346,5.0,-0.09197003,-5.0,-5.0,-4.5123568,5.0
5.0,0.5357762,0.31531182,-7.333213,5.0,-2.671165,-5.0,5.0,5.0,3.1581333,-5.0,8.019708,5.0,-5.0,-0.36523175,-4.626809
2.9467807,-1.9545786,4.7238517,-3.099521,5.0,0.38791224,-5.0,1.8633215,5.0,5.0,-5.0,10.0,5.0,5.0,0.5160419,0.35700327
0.19134259,-4.013895,5.0,-0.27892873,5.0,-4.934939,-5.0,-5.0,5.0,5.0,-3.431448,10.0,1.4186621,5.0,5.0,-0.092885315
-4.094226,1.2071402,-2.5980592,0.8088659,5.0,-5.0,-5.0,-3.5498428,5.0,5.0,1.7712836,-0.5793266,-1.3696889,5.0,4.5257535,-0.9541939
-5.0,5.0,-5.0,5.467703,-5.0,3.3881366,3.0948021,-0.16218296,-4.7213116,0.6141281,4.043508,-0.11093045,-5.0,-5.0,-5.0,-5.0
-4.2718782,5.0,-5.0,-5.253459,5.0,-4.553,-5.0,-1.4082277,3.187115,-5.0,2.5946412,0.7084965,-4.548799,-5.0,0.22840166,-5.0
3.7741969,-0.82058406,2.088757,3.9313023,5.0,-4.5742817,-3.9087179,1.4421072,5.0,5.0,-5.0,-4.9602876,4.1256337,-5.0,1.148149,-0.40688688
0.5197169,-3.7850664,4.822162,-0.25942445,5.0,-5.0,-5.0,-5.0,2.561047,5.0,-5.0,-8.475406,2.967469,5.0,5.0,1.14404
-2.9540267,-0.26018465,1.1663667,0.43142563,5.0,-5.0,-5.0,3.30958,5.0,5.0,-1.7020731,0.7645342,-0.26052678,5.0,5.0,-0.14665386
-5.0,5.0,-5.0,-0.5865294,-3.603353,-1.7817873,4.746277,-2.4388058,-0.5618659,5.0,5.0,5.9696097,-5.0,5.0,-2.4654107,0.280637
