base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
0.85744417,-0.01249972,-0.06672274,-0.1284723
0.9632782,-0.04416509,-0.27351344,-0.3730489
0.83034694,0.050392523,-0.026000174,-0.02945237
0.84277177,0.13380574,0.03081749,0.020315526
0.8767926,0.10822565,0.13272619,-0.09528099
0.80061436,0.06275832,-0.053891607,-0.14843652
0.9683757,0.027819782,-0.17605366,-0.013548369
1.018238,0.0031855658,-0.3681989,0.029456278
0.8008281,0.035754092,-0.028935907,-0.04102878
0.78444886,0.069084175,-0.0012105338,0.23927349
0.75855666,0.084211,0.013818355,0.23190251
0.8187912,0.07489521,0.0837034,0.20537469
0.77318054,-0.033135634,-0.1938161,-0.32913485
0.8077647,-0.031155035,-0.021617912,0.0910837
0.9495177,-0.03684807,-0.1574739,-0.1695195
0.8154751,-0.0569535,-0.28997502,0.21229143
0.7764336,0.08259495,0.012528393,-0.23322049
0.7504902,0.084195085,0.0031086155,0.1856764
0.75808483,0.1623527,0.052673236,0.09121416
0.82031405,0.09529164,-0.22999826,0.47724375
0.78396076,0.030538596,-0.0007308567,-0.06630693
0.91513395,-0.0072643016,-0.21566728,-0.2001428
0.81879646,-0.04246971,-0.302652,0.2204041
0.7940589,0.06418321,-0.0023737957,0.07261275
0.7751218,0.1386102,-0.044920214,0.06136332
0.755625,0.11763596,-0.027975665,0.108712256
0.6656254,0.08677139,-0.1350371,-0.091763616
0.8569927,0.044407357,-0.11149242,-0.037727606
0.9634614,-0.0094236955,-0.339362,-0.17095235
0.74919426,0.006106127,-0.0022002608,-0.07060401
0.7910506,0.040602874,-0.040681615,0.11244845
0.7673799,0.13008519,0.024565434,0.08460622
0.81244016,0.010037371,-0.20949875,0.44936138
0.7921691,0.033275962,-0.023876904,0.01250235
0.9994483,-0.017805329,-0.2172259,-0.21389566
0.8431815,-0.033174597,-0.2243845,-0.3772281
0.8250489,0.039914154,0.005487822,-0.17219855
0.8019547,0.09507321,0.039527792,-0.037104852
0.83602124,0.06975077,0.07474542,0.16949853
0.7725999,0.031946503,-0.17291962,-0.20622689
0.8757009,-0.004906701,-0.08252436,-0.10684267
0.9961513,-0.03883477,-0.30941856,-0.27865323
0.7883521,0.045948826,0.012817649,-0.16507483
0.81424105,0.08076172,-0.005569582,0.02534514
0.7879328,0.08447031,0.035524275,0.13478845
0.8154876,0.009755386,-0.024030948,0.41316003
0.82584107,0.040496137,-0.041874956,-0.1582859
0.94233507,0.011971289,-0.1635288,-0.17371383
0.95839053,-0.045395385,-0.4317158,0.3892528
0.81505424,0.038487464,0.03744892,-0.051095694
0.83466405,0.07210426,-0.019539192,0.14816779
0.7888535,0.13819946,0.0334206,-0.077263966
0.83796597,0.10057985,0.062039264,0.11348917
0.7773385,0.03323832,-0.029541347,-0.36234286
0.96098596,-0.019212576,-0.18430726,-0.32044563
0.80666316,0.0056520547,-0.19782923,-0.004241832
