Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.23823977,1.5631628,2.3712802,9.052393,2.472241,-2.728735,-1.9895518,-6.09667,3.416037,-3.4921186,-0.29861593,-0.063965835,-1.9238025,-3.198257,-1.063947,-5.377001
0.16100454,1.0599931,-0.04193592,4.4405315e-06,-1.8170142,2.4463494,2.2781105,13.36691,1.9467613,2.5661066,-1.4998484,-8.850564,3.102225,-3.1367567,-0.19219339,-0.026380572
-3.3428552,-0.5768895,-0.047348455,-2.7059652e-06,-1.381933,2.2406783,1.0093428,5.4439106,1.9324123,-0.29181075,-2.1266391,4.41969,1.0883887,0.9073132,0.036628246,-0.0007215217
-0.22669157,0.595002,-0.42117178,0.37943548,0.024644718,1.7258066,-0.14526762,5.3922935,-1.1564794,-2.3875906,3.4742439,0.09071553,-3.4045303,3.3154905,0.4214038,-0.017190985
2.3539934,0.14728014,1.8959305,-2.02786,-2.5170326,0.6443977,-0.04087378,0.0093322825,-3.2424245,2.2459428,3.3624682,0.012384255,-1.1978624,2.0559647,-0.77173376,10.513889
0.8793349,-0.74241304,0.12417301,1.4473997,4.166511,0.7332903,1.2561572,-0.00089645386,-1.4263815,-1.227712,0.027304113,0.09686646,-2.17571,-1.8716683,-2.4999557,-11.396842
3.3262882,-1.645645,4.4818974,0.00088214874,0.36180764,-2.6593077,0.38477334,-9.079391,3.4778118,-0.38467765,-3.6362228,0.043232802,3.8162231,-3.350708,1.512688,-0.02444614
-0.5902716,1.8065829,0.042775046,-2.365936e-06,-1.8231701,2.6960278,1.1515414,7.54127,1.3633798,-2.2160637,-0.21412116,11.077721,3.3799672,0.87860554,-0.009305492,0.0119285295
-3.2811682,2.8280327,-0.02853353,-8.2768656e-07,-0.45443577,-2.296245,-0.92374533,-9.068777,2.2092044,3.3488016,-3.485177,-12.308691,-1.276492,0.97372663,-0.07585144,0.025135085
1.5569681,-3.4550686,1.645521,3.6709373,-0.2168212,-3.0814438,3.6463575,0.03974819,-1.1382362,0.5457771,1.9763962,0.15802401,-3.3915281,3.6455421,-3.4134896,-0.0031828564
0.5580182,-1.9099184,0.86212707,2.921853,-0.4708108,0.03938554,-0.09574739,-0.03388539,-2.4143217,1.5469952,0.110989586,-0.037397508,-0.99720466,-2.3179002,-1.6937686,-5.8885818
-0.71762484,2.6426008,1.3001269,-0.6166277,2.9164836,0.3412014,-3.5638874,-0.025771685,3.3367455,-3.5107102,-0.020924047,-0.05582287,-0.20869577,-2.6480756,-2.126721,-7.672102
3.4241326,-1.6108743,4.8399057,0.0013179779,1.9473133,-3.161983,-1.1597437,-5.4396744,3.6190581,-0.8235967,-3.6664312,0.061562877,3.854966,-3.2452662,2.5230787,-0.035906963
0.08467212,1.8430669,0.3121062,1.2281502e-05,-1.002061,-1.9450407,0.04932964,-8.286821,1.8849479,2.819359,-1.4976523,-9.252583,3.2862098,0.734782,-0.10013965,0.030638285
-3.4810395,2.408159,-0.010349005,1.4856696e-05,-1.1099609,0.07648784,-0.13406223,0.48532188,1.0446662,3.5606313,-1.4178104,-11.179594,0.87856776,0.7495701,0.019349195,-0.015732175
-2.5316079,-1.4141477,-3.4692051,-1.0444559e-05,1.9253013,-2.8796167,-3.3299708,-17.415257,0.027338356,-0.41517466,-0.4812438,-0.69054127,-3.438747,3.3159692,0.7019692,-0.04989174
0.8719501,1.4288652,1.9720881,-13.154022,-3.2557209,0.5105433,-0.031428635,0.012105353,-3.0734513,4.0962806,3.7763672,0.011108652,-0.41916415,0.28361303,0.41951144,1.7935877
